Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate
S01006506,Culter,Aberdeen City,894,580,8%,71,8%,49,65,29,30,70,13%,0.00,74,85%,5.88,53,0%,30%,2.540103211,3.074294725,1.616238532,2.615747423,1.544260321,9.930833333,8.86358945,5.856135321,6.023405963,11%,11,125,87,10,10%,1%
S01006507,Culter,Aberdeen City,793,470,5%,43,5%,25,45,130,126,81,14%,0.00,86,85%,5.96,96,2%,12%,3.91507177,4.309811603,2.555858254,3.64669697,2.8496561,11.04281609,9.978271531,7.515,7.926028708,1%,10,128,85,4,10%,0%
S01006508,Culter,Aberdeen City,624,461,6%,40,4%,19,45,71,18,41,13%,0.04,69,90%,5.75,39,1%,19%,3.323024883,3.784548989,1.440991446,3.247325103,2.062255054,10.61676829,8.620699844,4.321493002,5.770909798,1%,8,130,31,8,5%,1%
S01006509,Culter,Aberdeen City,537,307,10%,52,8%,26,80,80,28,103,16%,0.05,88,94%,6.20,80,0%,25%,2.622991379,2.778025862,2.620681034,1.936907895,2.160142241,10.03647059,7.935112069,8.433327586,8.329818966,11%,4,75,42,6,7%,1%
S01006510,Culter,Aberdeen City,663,415,10%,68,8%,32,95,89,44,139,22%,0.05,89,80%,5.87,77,6%,16%,2.115003882,2.358334627,2.408416149,1.845671642,1.784635093,9.65,5.568963509,6.966428571,6.632608696,0%,11,168,50,7,9%,1%
S01006511,Culter,Aberdeen City,759,453,4%,30,4%,17,50,55,0,54,12%,0.13,73,90%,5.79,54,2%,13%,1.516910786,1.769580559,3.227433422,2.517456897,2.593052597,8.614008264,4.934953395,7.66855526,7.340099867,5%,*,*,27,8,4%,1%
S01006512,Culter,Aberdeen City,539,345,2%,13,2%,8,40,29,0,41,11%,0.06,55,93%,5.86,27,0%,15%,5.365871869,5.776136802,3.909219653,5.374183673,4.277914258,12.2152381,19.01185934,16.25665703,16.96018304,54%,7,132,27,9,5%,2%
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,788,406,2%,14,3%,13,40,28,0,138,21%,0.00,72,94%,6.10,40,3%,28%,3.573032407,4.322546296,5.524486883,1.945431034,4.910960648,6.262142857,11.26949074,10.98277392,11.09934414,3%,*,*,15,4,3%,1%
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,1123,709,2%,17,2%,12,25,18,0,107,12%,0.08,59,94%,6.50,19,1%,22%,2.722303452,3.517337009,4.693964525,2.889620253,4.061291946,7.039017857,9.742909875,10.00215724,9.730057526,14%,9,81,10,3,1%,0%
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,816,529,1%,5,1%,7,25,23,0,34,10%,0.00,58,96%,6.00,15,0%,20%,4.444311024,5.177401575,6.337329396,3.063817734,5.78468832,6.878787129,17.18346129,17.09095472,17.02836614,22%,*,*,29,1,4%,0%
